engine_name,mtow,representative_airframe,expected_category,source
LTS101-750B.1,4000.0,Aerospatiale HH-65A Dolphin,TWIN_TURBOSHAFT_HEAVY,Wikipedia HH-65 Dolphin: 734 shp LTS101-750B-2 twin; original HH-65A MTOW 4000 kg (8900 lb)
LTS101-750C.1,3350.0,MBB-BK 117 A3/A4,TWIN_TURBOSHAFT_LIGHT,BK-117 B2 with LTS101-750B.1: 3350 kg MTOW (generalequipment.info BK-117 specifications)
MAKILA 1A1,8600.0,Eurocopter AS332L1 Super Puma,TWIN_TURBOSHAFT_HEAVY,"Eurocopter Technical Data Brochure 2006: AS332L1 Super Puma with Makila 1A1 engines, MTOW 8600 kg at 8000 kg typical performance data"
T700-GE-700,9185.0,Sikorsky UH-60A Black Hawk,TWIN_TURBOSHAFT_HEAVY,"Wikipedia UH-60A: T700-GE-700, 1622 shp each, MTOW 20,250 lb = 9185 kg"
GE CT7-8A,12000.0,Sikorsky S-92,TWIN_TURBOSHAFT_HEAVY,"SKYbrary/Wikipedia S-92: two CT7-8A at 2520 shp each, MTOW 12000 kg (some brochures cite 12,835 kg / 28,300 lb)"
TV2-117,12000.0,Mil Mi-8 (original),TWIN_TURBOSHAFT_HEAVY,"National Interest/Mi-8 specs: TV2-117 original engine, Mi-8 MTOW 12000 kg"
TV3-117VMA,13000.0,Mil Mi-17 / Mi-171,TWIN_TURBOSHAFT_HEAVY,"SKYbrary/Wikipedia Mi-17: TV3-117VM turboshafts, MTOW 13000 kg"
T 64-GE-7,19050.0,Sikorsky HH-53B / CH-53 Sea Stallion,TWIN_TURBOSHAFT_HEAVY,"PaveCave/Wikipedia: T64-GE-7 at 3925 shp was upgrade engine for HH-53B (twin). CH-53A/D MTOW 19,050-21,000 kg. Note: the heli CSV also shows this engine with n=3 which corresponds to CH-53D variants or treatment anomaly — both classify as HEAVY"
ARRIEL 1B,2100.0,AS350B Squirrel,SINGLE_TURBOSHAFT,"Wikipedia AS350: AS350B with Arriel 1B, MTOW 2100 kg"
ARRIEL 1D,2100.0,AS350B1 Squirrel,SINGLE_TURBOSHAFT,"Wikipedia AS350: AS350B1 with Arriel 1D, MTOW 2100 kg"
HIO-360,620.0,Robinson R22 / Enstrom F-28,PISTON,"FAA Part 141 training manuals: R22 with HIO-360 (190 hp), MTOW 620 kg"
HIO-540,1089.0,Robinson R44 Astro,PISTON,"Wikipedia R44: HIO-540 (245 hp), MTOW 1089 kg (2400 lb)"
